index,name,category,beach_id,camera_url,reason,playback_observation
0,Kohanaiki Web Camera,Location mismatch or unproven coverage,fbe805b3-b9f5-40e0-afbb-3c5a8d45f67b,https://www.youtube.com/watch?v=Sb6v9lXIDjc,Kohanaiki channel confirmed but camera views resort lawn and partly obscured coastline. Cannot establish Pine Trees public surf area field of view at catalog coordinates; do not infer from resort name.,"Chrome YouTube watch page showed Live/Pause, one viewer; two screenshots showed changing whitewater and palm positions. Playback working; exact location unresolved."
1,KONAWEB (Hulihee Palace),No matching catalog beach,,https://www.konaweb.com/cam/index.html,"KONAWEB says camera is at Fish Hopper restaurant, Alii Drive Kailua-Kona. No exact Hulihee/Kailua Bay catalog beach; not Pine Trees.",Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
2,Mauna Kea Beach Hotel (Hapuna),Location mismatch or unproven coverage,,https://marriott.ozolio.com/mauna-kea-beach-hotel/,Official camera page explicitly identifies Kaunaoa Bay; directory Hapuna label wrong. No Kaunaoa catalog beach.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
3,The Surfers View (Turtle Bay),No matching catalog beach,,https://thesurfersview.com/live-cams/hawaii/turtle-bay-beach-cam-west-and-surf-report/,Turtle Bay West named by provider; no Turtle Bay catalog beach. Not Kualoa or Kahana.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
4,Explore Annenberg LLC (Waimea Bay/Pinballs),Existing camera retained,12431285-b73c-48e4-99b3-731594f6f98c,https://explore.org/livecams/hawaii/hawaii-waimea-bay-cam/,Waimea Bay already has camera_url; retain existing. Provider indexed status Off Season; not verified currently live.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
5,"LIVE Banzai Pipeline Surf Cam: North Shore, Oahu - Hawaii | explore.org",Existing camera retained,6a0674ac-3e6d-49f3-9fd4-a4f1857c408a,https://www.youtube.com/@ExploreBigSurfandBeaches,Pipeline already has camera_url. This and index6 represent Explore Pipeline/Ehukai; no replacement authorized by additive import.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
6,Explore Annenberg LLC (Ehukai/Gums),Duplicate or alternate listing,6a0674ac-3e6d-49f3-9fd4-a4f1857c408a,https://explore.org/livecams/hawaii/hawaii-pipeline-cam/,Same Explore Pipeline/Ehukai camera as index5; preserve existing Pipeline camera.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
7,Webcamtaxi (Ala Moana Courts),No matching catalog beach,,https://www.webcamtaxi.com/en/usa/hawaii/honolulu-island-of-oahu.html/,Ala Moana Courts is not an existing catalog beach; do not relabel as Ala Moana Bowls. Prior HTTP403 did not verify playback.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
8,CamGuide (Reef Runway (Hickam Harbor)),Location mismatch or unproven coverage,,https://camguide.net/usa/hawaii/honolulu/beach/,Directory Hickam Harbor label contradicts destination Waikiki/Mamala Bay title. Exact view unverified.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
9,Ward Village (Ala Moana Bowls),Existing camera retained,80fc2c1b-2d3f-4a94-bcc2-c8ea0e9b8fc5,https://www.wardvillage.com/surf-cam/,Ala Moana Bowls already has camera_url; provider exact field of view remains unverified; preserve existing.,Not playback-tested: catalog mismatch or duplicate is sufficient to exclude importing this listing.
